cantonese,english,greedy,beam
如果我哋再多少少錢，就買到嗰架車㗎喇。,We could have bought the car with a little more money.,Om jag skulle få lite mer pengar så köpte jag en bil.,"Als ik nog wat minder geld zou verdienen, zou ik een bijzondere auto kopen."
夠鐘喇。,Time is up.,Өзiмiң жарықi.,Қазіргі уақытта.
唔使喇，唔該。,"No, thank you.",Бұл да не айтасыз.,"Қандай да, да не."
你決定好未呀？,Have you arrived at a decision yet?,- Anh quyết định không?,Rozhodli jste se dobře?
你可唔可以俾我試多一次呀？,Will you let me try once more?,Kan du inte glädja mig att prova en gång?,Kan du inte glädja mig att prova mer än en gång?
我可唔可以食多嚿蛋糕呀？,May I have another piece of cake?,Kan jag inte äta en massa kakor?,Kan jag inte äta mycket tårta?
你要唔要多舊蛋糕呀？,Would you like another piece of cake?,Vill du ha en gammal tårta?,Vill du inte ha en gammal tårta?
就快三點喇。,It is almost three.,3 жылдан кейін қазір.,Қазіргі уақытта 3 жылға дейін.
佢唔想係噉肥落去，所以咪戒食蛋糕囉。,"She does not eat cake, so as not to put on any more weight.","Бұл үшін бір-бірімен бір жарыққа келді, бұл кейде кетеді.","Өзiмдiкiнiгiшiлiпiтiң әсiрi, әмiз кiвiбi."
我哋都係唔好再見面喇。,It would be better for both of us not to see each other anymore.,Менің қазір мен қаңтар менің жарыққа қадам.,Қандай-ақ қазір қайтарып келдім.
食咗晏未呀？,Have you finished eating your lunch?,Өзiмiңiнiкiздiпiшi?,Өтiмiнiкiзiпiшiгiлiңi?
而家已經十一點喇。我一定要走喇。,It's already eleven o'clock. I must be leaving now.,"10 жылдан кейін, менің қазір мен қаңтар мен",Қазіргі таңда 10 мың теңгеге қарап отырған.
過咗差唔多十年，你都仲係同以前一樣咁靚。,"It's been almost ten years, but you're as beautiful as ever.",10 il əvvəlki qədər də sizə qarşılıqlı bir şey var.,"Əvvəllər 10 ildir ki, sizə daha əvvəlki kimi bir-birinizdir."
瑪莉唔俾佢阿媽知，自己整咗一件蛋糕。,Mary made a cake without her mother's knowledge.,"Бұл қазір менің қасымда, бұл қағидалар мен қабығы.","Өйткені, мама мен маманың бір-бірімен келдім."
個餐牌有好多唔同種類嘅菜色。,There was a great variety of dishes on the menu.,Бұл үшін бір-бірімен бір қағидалар бар.,"Қандай-ақ, бір нәрсеге қарап тұрады."
阿 Mary 唔知同佢講啲咩先好。,Mary is at a loss what to say to him.,Amma bu barədə Mariya xəbər verir.,Məryəm onunla daha əvvəl danışıb.
阿Mary咁硬頸，唔會識道歉架嘞。,Mary is too stubborn to apologize.,"Абайға жарыққа жатады, ол жасайды.","Қаншалықты жасайды, мұндай жалайды не айтылады."
阿 Mary 就嚟生日喇，我諗住整件蛋糕俾佢。,I'm going to make a cake for Mary's birthday.,"Бұл жерде де ұрпаққа, бұл жерді де жарыққа жатады.","Өйткені, «Ама Мария» өнерінің кеңінен танымал."
瑪莉到咗個巴士站嗰陣，架尾班巴士已經走咗喇。,"When Mary reached the bus stop, the last bus had already left.","Бұл да салықты ұзақ уақытқа дейін бас тазаны, бас басшылықты бар.","Өзiлiкiмдiгiшiнiпiрiтiсiңiз,iвiбiжiнгiйi кiстiхi."
我梗係信得過啦。我之前有冇俾過流料你吖？,Of course you can trust me. Have I ever given you a bum steer before?,"Менің қазір менің тіпті, мен қаңтар мен өңдеуге болады?","Қандай-ақ, қаңтар мен қазір мен әңгімелермен таныстырып кетеді?"
企喺嗰度嗰個女仔就係 Mary 喇。,The girl standing over there is Mary.,Бұл жерде де ұзақ уақытқа дейін маған.,Қаланың тұрақты тұрғындарының саны Мария Ла.
喺嗰度游緊水嗰個男仔係邊個嚟㗎？,Who is the boy that is swimming over there?,Бұл жерде ұрпаққа ұлытын ұлпақтың ұзақ уақытқа жарыққа?,Қазіргі уақытта өңдеуге қарастырамыз?
賣晒喇！,All sold out!,Өзiңiмiкiнiпiздiгiшi!,Қазіргі уақытта өңдеу!
成村人喺度等緊你呀。,Everybody is waiting for you.,Өзiңiмiкiнiпiшiздiгiлiтiддтт.,Өйткені жиындық қағидалар мен әңгімелер бар.
大家都想坐喺佢隔籬。,Everybody wants to sit beside her.,Tout le monde veut s’asseoir près de lui.,Tout le monde veut s’asseoir près de lui.
你要喺佢哋返嚟之前做好啲功課。,Finish your homework by the time they return.,"Bu barədə xəbər verir ki, bu barədə “Gərimət”də xəbər verəcək.",Anda harus melakukan tugas-tugas yang baik sebelum mengembalikannya.
個個都好專心噉聽緊。,Everyone was listening very carefully.,Өзiңiмiнiкiздiпiшiлiгiддтiттдaтaд,Tout le monde est très concentré et très attentif.
迷你裙已經 out 咗啦。,Miniskirts have gone out of fashion.,Бұл да салыстырды.,Қазіргі уақытта маңында тұрады.
一諗到好快就可以見到佢，我就好激動。,I felt a thrill of joy at the thought of seeing her soon.,"Si je le vois très vite, je suis très étonnée.","Si je le vois très vite, je suis très excité."
媽咪呀，你做咩唔叫爹哋自己執返自己間書房嘅？,"Mum, why doesn't Dad clean his own study?","Бұл қазір, бұл қағидалар мен қаһарманның қасымның тұрады.","Қандай-ақ, бұл мақалалар мен қағидалар бар?"
我仲未知。,I don't know yet.,Не күлеріңді.,Je ne connais pas les uns les autres.
你仲有冇收集郵票呀？,Are you still collecting stamps?,Қандай бір-бірінен бір рет егер?,Қандай кешiнiкiмдiпiзiңдерi?
我哋仲有大把時間剩。,We still have plenty of time left.,Jag har säkert mycket tid kvar.,J’ai certainement beaucoup de temps entre nous.
我講講吓嘢，佢就突然間收咗線。,He suddenly hung up the phone while I was speaking.,"Менің жасыққа қанақтар, бұл қаныққшаға жасақ.","Mən bu sözdən qorxuyordum, o da bir-birindən birini qəbul etmişdi."
仲落緊雨。,It's still raining.,Өткен қазір көреп отыр.,Өтiмiрiкiзiнiң жасайды.
我仲未有機會睇嗰套戲。,I haven't had a chance to see the movie yet.,Менің қазір не қанаққалымыз.,Je n'ai pas eu l'occasion de voir le spectacle.
我仲未準備好。,I'm not ready yet.,Je ne suis pas prêt.,Je ne suis pas prêt.
你應該同你阿爸阿媽傾吓先。,"First of all, you should talk it over with your parents.","Өйткені, бабасының бабысының өзара келдім.",Anda harus menakut-nakuti ayah dan ibumu terlebih dahulu.
德蘭修女將筆獎金用咗喺佢喺印度同埋全世界嘅事業到。,Mother Teresa used the prize money for her work in India and around the world.,Бұл жерде қазақстандықтың өнерінің өзара ескеуіне өңдеуге қарастырылған.,Өзiлiкiмдiпiнiгiңiрiшiтiсiвiбiзздaaттeiддeeнтaнaзaмaлaвaкaгaпaшaсa
阿 Mike 成日喺度𠱓佢老豆買架車俾佢。,Mike is always nagging his father to buy him a car.,"Бұл үшін, бұл машинасы мен салыстырдың дағдырығымен таныстырылған.",ҚазАқпарат – Жүктеуiнiлiкiшiгiзiмдiпiрiң көтiсi.
知道個真相嘅人淨係得幾個。,Only a handful of people know the fact.,Қандайды да бір қағидалармен таныстырып.,Қазіргі уақытта бір-бірімен таныстырады.
我淨係見過佢一次咁大把。,I saw him but once.,Mən onu bir dəfə görmüşəm.,Mən onu bir dəfə gördüm.
懷特先生好似有好多朋友。,Mr White seems to have many friends.,M. Moua semble avoir beaucoup d’amis.,M. Gourmet semble avoir beaucoup d’amis.
Bob係我朋友。,Bob is my friend.,Боб менің қазір.,Bob là bạn của tôi.
阿Bob又見番佢喇。,Bob saw him again.,Абақаның өзіне қайталап.,Абу Бабаның қайтарып келді.
阿 Bob 老豆喺女校教書。,Bob's father teaches at a girls' school.,Бұл жерде студенттермен таныстырып қарап отыр.,Школының өңдеуге айналды.
男仔多數都鍾意棒球。,Most boys like baseball.,Басқаша балалары бар басқаш балаларға.,Қанша балалары бейсболға болады.
你有冇㩒到個掣呀？,Did you push the button?,Vous avez des entreprises ?,Vous avez des compétences pour une entreprise ?
粒鈕甩咗出嚟。,The button came off.,Қазір қазір қарап отыр.,Қазіргі уақытта қанағаттанды.
講嘢嗰陣唔好插隻手落個袋度。,Don't speak with your hands in your pockets.,Бұл қағидалар мен қаһарманға да не айтылады.,Қазіргі уақытта бір-қатынас келдім.
